batch_id,batch_seq,tablet_seq,station,tablet_weight_mg,hardness_N,friability_pct,disintegration_time_min,thickness_mm,blend_moisture_pct,defect_grade,compression_force_kN,pre_compression_force_kN,turret_speed_rpm,fill_depth_mm,dwell_time_ms,lubricant_level_pct,blend_uniformity_index,compression_zone_temp_C,ambient_temp_C,ambient_humidity_pct,ts_start,batch_day,punch_serial,operator_id,compression_ratio,hardness_friability_ratio,weight_deviation_pct,defect_flag
B0001,1.0,1.0,1.0,499.76,99.94,0.325,7.51,5.007,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,307.51,-0.048,0
B0001,1.0,2.0,1.0,500.07,98.21,0.335,8.74,5.03,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,293.16,0.014,0
B0001,1.0,3.0,1.0,500.63,98.9,0.287,9.21,5.013,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,344.6,0.126,0
B0001,1.0,4.0,1.0,500.99,97.58,0.36,8.84,4.991,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,271.06,0.198,0
B0001,1.0,5.0,1.0,499.85,102.11,0.238,8.53,5.033,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,429.03,-0.03,0
B0001,1.0,7.0,1.0,499.9,98.8,0.22,7.58,5.0,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,449.09,-0.02,0
B0001,1.0,8.0,1.0,499.79,94.96,0.319,7.79,5.023,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,297.68,-0.042,0
B0001,1.0,12.0,1.0,499.86,99.69,0.418,7.8,5.002,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,238.49,-0.028,0
B0001,1.0,13.0,1.0,500.75,101.07,0.324,8.57,4.974,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,311.94,0.15,0
B0001,1.0,14.0,1.0,499.23,96.81,0.325,7.76,5.028,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,297.88,-0.154,0
B0001,1.0,17.0,1.0,498.7,98.54,0.296,7.63,4.996,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,332.91,-0.26,0
B0001,1.0,18.0,1.0,499.58,101.41,0.335,8.13,4.986,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,302.72,-0.084,0
B0001,1.0,19.0,1.0,500.52,97.19,0.301,7.95,4.968,2.06,A,18.13,6.16,27.3,10.03,29.4,1.3,93.4,36.6,19.8,42.2,2025-11-01 06:00:00,1.0,P101-7047,OP_C,2.943,322.89,0.104,0
