ts_qcs,day,grade,cd_basis_weight_cv_pct,formation_index,ash_content_pct,moisture_pct,strength_rel_pct,defect_grade
2025-10-01 07:24:30,1.1,GSM80,0.557,8.6,22.41,3.0,103.2,A
2025-10-01 07:28:00,1.1,GSM80,0.311,8.73,22.73,3.0,99.9,A
2025-10-01 07:43:30,1.1,GSM80,0.714,8.78,20.69,3.0,101.7,A
2025-10-01 10:31:00,1.2,GSM100,0.447,8.38,22.04,3.0,97.8,A
2025-10-01 11:01:00,1.2,GSM100,0.57,8.56,27.24,3.0,100.5,A
2025-10-01 11:07:15,1.2,GSM100,0.587,8.4,26.38,3.0,101.2,A
2025-10-01 14:40:30,1.3,GSM120,0.832,8.51,24.93,3.0,96.0,A
2025-10-01 14:49:00,1.4,GSM120,0.544,8.92,29.28,3.0,101.9,A
2025-10-01 14:58:00,1.4,GSM120,0.529,8.25,25.53,3.0,103.1,A
2025-10-01 19:21:00,1.5,GSM80,0.303,8.48,23.37,3.0,97.4,A
2025-10-01 19:29:00,1.5,GSM80,0.164,8.09,23.73,3.0,99.1,A
2025-10-01 19:39:00,1.5,GSM80,0.451,8.82,24.13,3.0,99.9,A
2025-10-01 19:56:15,1.6,GSM80,0.15,8.23,22.03,3.0,101.3,A
2025-10-01 20:10:45,1.6,GSM80,0.497,8.93,25.23,3.0,103.6,A
2025-10-01 20:28:15,1.6,GSM80,0.747,8.19,23.72,3.0,102.2,A
2025-10-02 00:00:15,1.7,GSM100,0.657,8.86,22.77,3.0,100.1,A
2025-10-02 00:11:45,1.7,GSM100,0.74,8.28,26.16,3.0,99.4,A
2025-10-02 00:57:30,1.7,GSM100,0.813,8.1,27.17,3.0,101.3,A
2025-10-02 01:10:45,1.8,GSM100,0.478,8.36,18.0,3.0,100.3,A
2025-10-02 05:31:30,1.9,GSM80,0.366,8.31,23.29,3.0,97.5,A
2025-10-02 05:44:30,1.9,GSM80,0.15,8.1,21.46,3.0,100.7,A
2025-10-02 06:35:45,2.0,GSM100,0.608,8.31,21.56,3.0,100.3,A
2025-10-02 08:28:15,2.0,GSM100,0.448,8.91,26.72,3.0,98.7,A
2025-10-02 09:11:45,2.1,GSM100,0.529,8.29,25.91,3.0,94.7,A
2025-10-02 09:45:45,2.1,GSM100,0.666,8.36,23.58,3.0,101.4,A
2025-10-02 10:23:00,2.1,GSM100,0.15,8.22,26.21,3.0,102.4,A
2025-10-02 10:29:00,2.1,GSM100,0.813,8.39,22.32,3.0,103.1,A
2025-10-02 10:57:15,2.1,GSM100,0.42,8.33,26.06,3.0,100.6,A
2025-10-02 11:28:00,2.2,GSM120,0.987,8.22,25.16,3.0,99.1,A
2025-10-02 11:32:15,2.2,GSM120,0.719,9.04,22.11,3.0,98.2,A
