ts_event,event_type,description
2025-10-01 10:11:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-01 14:24:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-01 20:49:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-01 22:54:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-02 03:18:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-02 05:21:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-02 07:26:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-02 11:37:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-02 15:52:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-02 20:03:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-02 22:06:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-03 04:27:00,GRADE_CHANGE,GSM120 → GSM80
2025-10-03 08:42:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-03 10:47:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-03 12:53:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-03 17:04:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-03 19:11:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-03 23:26:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-04 03:38:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-04 05:44:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-04 09:57:00,GRADE_CHANGE,GSM120 → GSM80
2025-10-04 12:06:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-04 16:22:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-04 18:28:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-04 22:39:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-05 02:51:00,GRADE_CHANGE,GSM100 → GSM120
2025-10-05 04:57:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-05 09:08:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-05 13:23:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-05 15:31:00,GRADE_CHANGE,GSM120 → GSM80
2025-10-05 19:40:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-05 21:45:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-05 23:52:00,GRADE_CHANGE,GSM120 → GSM80
2025-10-06 06:10:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-06 10:23:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-06 14:42:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-06 18:58:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-06 21:00:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-07 01:05:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-07 05:17:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-07 07:22:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-07 09:25:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-07 11:35:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-07 17:57:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-07 20:03:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-08 00:11:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-08 04:27:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-08 06:37:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-08 10:55:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-08 15:09:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-08 19:20:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-08 23:43:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-09 05:54:00,GRADE_CHANGE,GSM100 → GSM120
2025-10-09 10:02:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-09 14:11:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-09 18:22:00,GRADE_CHANGE,GSM100 → GSM120
2025-10-09 20:28:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-09 22:32:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-10 02:45:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-10 04:51:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-10 09:10:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-10 11:18:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-10 15:33:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-10 19:44:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-10 21:49:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-11 02:08:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-11 04:12:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-11 08:25:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-11 10:28:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-11 16:45:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-11 21:01:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-11 23:08:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-12 01:21:30,GRADE_CHANGE,GSM80 → GSM100
2025-10-12 07:48:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-12 12:01:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-12 16:15:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-12 20:29:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-12 22:32:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-13 02:46:00,GRADE_CHANGE,GSM80 → GSM100
2025-10-13 04:50:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-13 09:05:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-13 13:17:15,GRADE_CHANGE,GSM80 → GSM100
2025-10-13 15:21:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-13 17:27:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-13 21:36:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-13 23:44:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-14 04:05:15,GRADE_CHANGE,GSM120 → GSM80
2025-10-14 08:19:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-14 14:40:45,GRADE_CHANGE,GSM100 → GSM120
2025-10-14 16:47:30,GRADE_CHANGE,GSM120 → GSM80
2025-10-14 21:07:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-15 01:20:15,GRADE_CHANGE,GSM100 → GSM120
2025-10-15 05:37:00,GRADE_CHANGE,GSM120 → GSM80
2025-10-15 09:52:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-15 14:09:30,GRADE_CHANGE,GSM100 → GSM120
2025-10-15 18:17:45,GRADE_CHANGE,GSM120 → GSM80
2025-10-15 20:27:45,GRADE_CHANGE,GSM80 → GSM100
2025-10-16 00:44:00,GRADE_CHANGE,GSM100 → GSM120
2025-10-16 02:44:00,GRADE_CHANGE,GSM120 → GSM80
2025-10-16 04:50:00,GRADE_CHANGE,GSM80 → GSM100
