ts_dcs,ts_qcs,day,shift,grade_running,grade,headbox_pressure_kPa,approach_flow_lpm,fan_pump_speed_rpm,white_water_consistency_pct,retention_aid_dosage_ppm,slice_opening_mm,machine_speed_mmin,stock_temp_C,jet_to_wire_ratio,vacuum_pump1_kPa,vacuum_pump2_kPa,cd_basis_weight_cv_pct,formation_index,ash_content_pct,strength_rel_pct,defect_grade,defect_grade_numeric
2025-10-01 07:24:30,2025-10-01 07:24:30,1.1,1,GSM80,GSM80,15.05,4000.0,874.1,0.844,178.7,7.86,1313.0,43.6,1.051,56.6,54.6,0.557,8.6,22.41,103.2,A,3
2025-10-01 07:28:00,2025-10-01 07:28:00,1.1,2,GSM80,GSM80,14.95,3921.0,878.4,0.91,199.8,8.08,1327.0,42.3,1.015,55.1,52.4,0.311,8.73,22.73,99.9,A,3
2025-10-01 07:43:30,2025-10-01 07:43:30,1.1,1,GSM80,GSM80,15.06,3922.0,884.3,0.888,182.1,8.44,1323.9,43.9,1.022,54.5,53.7,0.714,8.78,20.69,101.7,A,3
2025-10-01 10:31:00,2025-10-01 10:31:00,1.2,1,GSM100,GSM100,17.43,4394.0,883.8,0.824,178.7,9.89,1526.2,45.7,1.003,57.1,50.8,0.447,8.38,22.04,97.8,A,3
2025-10-01 11:01:00,2025-10-01 11:01:00,1.2,1,GSM100,GSM100,17.52,4439.0,881.9,0.952,178.3,9.42,1513.8,45.7,1.053,50.8,54.3,0.57,8.56,27.24,100.5,A,3
2025-10-01 11:07:15,2025-10-01 11:07:15,1.2,2,GSM100,GSM100,17.11,4419.0,876.3,0.897,181.2,10.06,1516.9,44.9,1.035,50.6,48.8,0.587,8.4,26.38,101.2,A,3
2025-10-01 14:40:30,2025-10-01 14:40:30,1.3,2,GSM120,GSM120,20.05,5034.0,878.4,0.874,176.6,11.65,1679.6,45.3,1.0,53.9,48.9,0.832,8.51,24.93,96.0,A,3
2025-10-01 14:49:00,2025-10-01 14:49:00,1.4,2,GSM120,GSM120,19.71,4999.0,888.9,0.798,183.3,11.05,1704.5,45.1,1.03,50.8,42.7,0.544,8.92,29.28,101.9,A,3
2025-10-01 14:58:00,2025-10-01 14:58:00,1.4,1,GSM120,GSM120,20.09,4932.0,879.2,0.853,197.4,11.56,1730.4,45.5,1.001,51.3,45.8,0.529,8.25,25.53,103.1,A,3
2025-10-01 19:29:00,2025-10-01 19:29:00,1.5,1,GSM80,GSM80,14.7,3963.0,892.8,0.848,187.2,8.01,1312.9,41.7,1.006,54.6,48.8,0.164,8.09,23.73,99.1,A,3
2025-10-01 19:39:00,2025-10-01 19:39:00,1.5,2,GSM80,GSM80,14.78,3909.0,883.3,0.888,194.2,8.86,1323.9,41.2,0.996,50.6,46.1,0.451,8.82,24.13,99.9,A,3
2025-10-01 19:56:15,2025-10-01 19:56:15,1.6,2,GSM80,GSM80,14.99,3909.0,885.5,0.884,193.0,9.92,1331.4,41.8,1.013,50.2,48.8,0.15,8.23,22.03,101.3,A,3
2025-10-01 20:10:45,2025-10-01 20:10:45,1.6,2,GSM80,GSM80,14.78,3927.0,881.2,0.771,189.3,8.43,1326.6,40.7,1.031,54.1,43.5,0.497,8.93,25.23,103.6,A,3
