ts_event,event_type,description
2025-10-08 15:28:10,SOURCE_CHANGE,Clinker source change: A → B
2025-10-15 06:33:40,SOURCE_CHANGE,Clinker source change: B → A
2025-10-24 23:06:30,SOURCE_CHANGE,Clinker source change: A → B
2025-10-31 14:15:10,SOURCE_CHANGE,Clinker source change: B → A
2025-10-31 14:15:10,MEDIA_ADDITION,Added 5 tons of Ø80mm grinding balls
2025-11-07 05:20:00,SOURCE_CHANGE,Clinker source change: A → B
2025-11-13 20:40:20,SOURCE_CHANGE,Clinker source change: B → A
2025-11-15 21:24:30,INSPECTION,Mill stopped for liner inspection - no significant wear found
2025-11-15 21:45:00,INSTRUMENT,Mill power meter recalibrated (offset correction +18 kW)
2025-11-22 12:32:40,SOURCE_CHANGE,Clinker source change: A → B
2025-11-29 03:19:00,SOURCE_CHANGE,Clinker source change: B → A
2025-12-01 04:26:20,MEDIA_ADDITION,Added 5 tons of Ø80mm grinding balls
2025-12-06 18:59:50,SOURCE_CHANGE,Clinker source change: A → B
2025-12-13 10:10:50,SOURCE_CHANGE,Clinker source change: B → A
2025-12-14 22:55:50,BEARING_CHECK,"Main bearing temperature spike investigated - grease relubricated, normal operation resumed"
2025-12-21 01:42:00,SOURCE_CHANGE,Clinker source change: A → B
2025-12-27 16:39:30,SOURCE_CHANGE,Clinker source change: B → A
