ts_dcs,day,shift,clinker_source,mill_feed_tph,mill_power_kW,mill_vibration_mm_s,separator_speed_rpm,reject_rate_pct,feed_moisture_pct,mill_outlet_temp_C,main_bearing_temp_C,mill_sound_dB,separator_current_A,gypsum_dosage_pct,baghouse_dp_kPa,ts_lab,blaine_fineness_cm2g,residue_45um_pct,strength_3d_MPa,strength_28d_MPa,cement_temperature_C,defect_grade
2025-10-01 01:44:50,1.1,2,A,140.5,3611.2,2.23,896.1,17.59,2.31,113.1,65.7,73.2,188.0,3.64,1.584,2025-10-01 01:44:50,3789.0,4.99,18.56,41.87,122.0,A
2025-10-01 02:19:50,1.1,2,A,131.9,3598.5,1.495,891.3,11.92,1.75,112.4,63.9,88.4,178.7,5.11,2.085,2025-10-01 02:19:50,3790.0,4.18,18.53,43.32,119.3,A
2025-10-01 05:32:10,1.2,2,A,144.9,3606.0,2.579,894.4,13.58,1.54,112.8,68.9,81.5,181.8,4.22,1.555,2025-10-01 05:32:10,3829.0,4.39,19.12,44.0,112.1,A
2025-10-01 09:57:40,1.4,1,A,139.7,3558.3,1.78,889.8,15.67,1.44,114.2,65.1,84.8,181.2,3.38,1.677,2025-10-01 09:57:40,3743.0,4.19,18.85,41.81,119.1,A
2025-10-01 10:48:20,1.4,2,A,144.5,3470.4,2.86,897.5,14.48,1.53,114.1,63.8,77.3,181.9,5.74,1.815,2025-10-01 10:48:20,3811.0,3.57,18.14,43.61,119.9,A
2025-10-01 12:35:10,1.5,1,A,141.1,3581.6,2.755,876.9,17.22,1.55,112.4,65.9,86.1,181.8,3.37,2.083,2025-10-01 12:35:10,3691.0,4.05,18.77,42.66,118.8,A
2025-10-01 14:06:50,1.6,1,A,144.0,3621.3,1.807,898.2,15.27,1.78,113.4,64.9,84.6,177.8,4.01,1.565,2025-10-01 14:06:50,3764.0,3.59,19.01,43.09,120.6,A
2025-10-01 19:42:40,1.8,1,A,143.9,3571.3,2.605,905.4,15.45,1.53,113.4,66.1,87.4,173.4,4.7,2.085,2025-10-01 19:42:40,3750.0,4.32,18.75,42.32,119.2,A
2025-10-01 19:56:30,1.8,3,A,138.4,3595.2,2.602,901.1,17.33,1.48,116.1,68.5,91.7,191.3,3.59,1.565,2025-10-01 19:56:30,3794.0,3.75,18.25,43.85,122.6,A
2025-10-02 00:54:00,2.0,3,A,142.4,3580.8,2.111,884.7,16.07,1.96,110.1,64.4,76.4,185.1,4.44,1.821,2025-10-02 00:54:00,3758.0,4.46,18.91,41.79,118.0,A
2025-10-02 01:57:30,2.1,3,A,135.4,3587.8,1.919,897.4,14.95,1.81,111.1,63.9,94.2,179.0,5.64,2.017,2025-10-02 01:57:30,3820.0,4.27,19.14,42.54,117.8,A
2025-10-02 05:41:00,2.2,3,A,134.2,3558.0,1.0,874.9,16.19,2.05,111.0,64.6,76.9,182.6,5.59,1.835,2025-10-02 05:41:00,3823.0,4.42,18.54,43.52,115.5,A
2025-10-02 09:09:20,2.4,1,A,142.4,3580.2,2.232,877.8,12.43,1.89,115.5,65.1,78.0,189.3,3.88,1.326,2025-10-02 09:09:20,3781.0,4.03,18.75,43.0,122.3,A
2025-10-02 11:05:10,2.4,3,A,141.5,3554.1,1.921,890.4,14.17,1.93,110.5,67.1,86.5,178.6,4.21,1.903,2025-10-02 11:05:10,3750.0,3.07,18.8,44.37,117.5,A
2025-10-02 14:48:20,2.6,2,A,136.6,3563.8,1.707,886.2,16.33,1.87,113.8,65.0,81.5,183.6,5.18,1.902,2025-10-02 14:48:20,3782.0,4.24,18.47,43.56,120.7,A
2025-10-02 17:21:10,2.7,2,A,135.0,3575.8,2.006,880.1,14.12,1.71,113.3,66.1,78.5,175.5,3.33,1.962,2025-10-02 17:21:10,3842.0,4.74,18.5,42.91,120.7,A
2025-10-02 17:41:20,2.7,1,A,133.8,3586.0,2.572,898.7,15.84,2.04,111.6,63.3,83.6,184.2,4.04,1.917,2025-10-02 17:41:20,3732.0,4.33,19.41,42.88,117.0,A
2025-10-02 22:49:50,2.9,2,A,137.5,3557.7,2.142,881.3,14.68,1.96,110.9,62.0,83.0,177.7,5.38,2.012,2025-10-02 22:49:50,3729.0,4.56,19.03,43.57,116.3,A
2025-10-03 00:51:10,3.0,3,A,140.0,3558.8,2.605,899.8,16.98,2.05,111.3,65.0,89.9,178.2,4.57,1.686,2025-10-03 00:51:10,3806.0,3.6,19.66,42.84,119.1,A
2025-10-03 01:27:40,3.0,2,A,133.1,3572.5,1.995,894.1,16.15,1.93,109.2,62.0,87.3,178.4,4.04,1.704,2025-10-03 01:27:40,3770.0,4.7,18.67,43.71,115.2,A
2025-10-03 03:42:30,3.1,1,A,126.0,3556.1,2.862,881.6,14.24,1.8,112.4,63.5,83.2,178.0,2.71,2.616,2025-10-03 03:42:30,3757.0,4.57,18.89,42.71,117.5,A
2025-10-03 08:35:50,3.3,2,A,141.1,3606.4,2.717,907.3,14.96,1.85,111.3,64.4,87.5,178.2,3.11,1.558,2025-10-03 08:35:50,3728.0,4.16,18.64,42.92,116.5,A
2025-10-03 10:04:40,3.4,3,A,128.4,3583.0,2.336,903.5,16.62,1.94,109.3,65.4,85.6,181.2,4.24,2.18,2025-10-03 10:04:40,3781.0,5.19,18.89,44.69,114.4,A
2025-10-03 17:46:40,3.7,3,A,137.0,3543.9,2.676,903.9,15.79,1.83,109.1,63.0,81.0,184.0,4.06,2.143,2025-10-03 17:46:40,3728.0,5.31,18.78,42.48,116.2,A
2025-10-03 18:00:30,3.7,1,A,139.4,3537.3,1.904,886.5,9.58,1.92,106.1,61.7,72.9,177.1,5.26,2.411,2025-10-03 18:00:30,3779.0,2.82,18.76,40.79,110.7,A
2025-10-03 19:16:30,3.7,3,A,141.5,3570.9,2.087,879.6,17.22,2.1,109.8,63.5,74.0,187.3,5.54,1.931,2025-10-03 19:16:30,3811.0,4.48,18.74,42.54,116.2,A
2025-10-03 20:52:50,3.8,3,A,137.5,3560.9,1.981,902.7,17.06,1.8,110.2,60.8,78.9,183.5,6.14,1.692,2025-10-03 20:52:50,3769.0,4.07,19.37,44.15,118.1,A
2025-10-03 23:38:50,3.9,1,A,139.6,3590.7,1.923,903.7,14.9,2.21,107.8,61.0,86.7,184.5,3.78,2.321,2025-10-03 23:38:50,3805.0,5.16,18.47,42.66,113.1,A
2025-10-04 05:03:00,4.1,1,A,143.7,3606.3,2.355,909.8,15.2,1.87,103.7,62.7,85.1,184.3,4.28,1.981,2025-10-04 05:03:00,3802.0,4.07,18.59,42.11,108.8,A
2025-10-04 07:40:00,4.3,2,A,136.9,3574.3,2.666,897.3,13.68,1.9,106.0,60.0,81.5,186.7,4.94,2.045,2025-10-04 07:40:00,3848.0,4.04,18.45,43.23,112.7,A
2025-10-04 12:00:00,4.4,2,A,138.4,3586.5,1.9,900.6,15.85,1.92,110.4,61.5,77.6,178.1,3.8,2.275,2025-10-04 12:00:00,3734.0,4.86,17.17,43.09,115.7,A
2025-10-04 12:04:40,4.4,2,A,142.9,3560.9,2.914,891.6,15.54,2.53,106.9,60.4,77.3,188.9,5.61,2.023,2025-10-04 12:04:40,3740.0,4.17,18.39,43.9,112.1,A
2025-10-04 13:59:40,4.5,3,A,143.8,3535.6,2.845,913.3,15.3,2.08,107.5,60.6,77.7,182.6,2.98,1.887,2025-10-04 13:59:40,3725.0,4.83,18.43,44.39,111.5,A
2025-10-04 22:05:00,4.8,1,A,150.6,3549.2,1.8,917.5,17.23,1.89,107.5,61.2,75.2,185.8,5.33,2.565,2025-10-04 22:05:00,3593.0,4.82,18.72,42.58,114.1,A
2025-10-05 00:50:00,5.0,2,A,140.1,3574.8,2.209,891.2,16.27,1.98,105.0,57.8,90.4,184.7,3.1,2.042,2025-10-05 00:50:00,3820.0,5.29,16.93,42.86,112.1,A
2025-10-05 05:47:10,5.2,1,A,140.4,3565.5,2.292,906.3,16.46,1.89,104.2,61.2,75.6,186.0,4.69,2.568,2025-10-05 05:47:10,3769.0,3.99,18.79,41.98,108.2,A
2025-10-05 09:30:00,5.3,3,A,139.2,3559.7,2.562,923.2,17.0,1.84,103.3,58.9,80.0,175.6,4.03,2.61,2025-10-05 09:30:00,3787.0,5.77,19.13,42.79,107.3,A
2025-10-05 09:42:20,5.3,1,A,135.6,3542.1,2.77,900.6,15.12,1.84,105.4,59.9,77.6,183.1,5.05,2.561,2025-10-05 09:42:20,3675.0,6.95,18.85,42.37,110.4,A
2025-10-05 13:33:30,5.5,1,A,134.9,3478.9,2.111,899.6,15.85,1.54,103.3,60.9,77.7,188.4,3.81,2.667,2025-10-05 13:33:30,3818.0,5.77,19.26,43.52,110.7,A
2025-10-05 16:14:00,5.6,1,A,140.0,3589.3,2.574,890.5,15.67,1.46,107.9,60.1,78.1,188.5,4.29,2.537,2025-10-05 16:14:00,3795.0,4.55,18.2,43.26,115.9,A
2025-10-05 20:21:40,5.8,3,A,145.2,3565.3,1.324,899.2,15.09,1.78,107.3,61.7,79.7,179.8,4.26,1.976,2025-10-05 20:21:40,3814.0,4.35,18.44,42.96,114.0,A
2025-10-05 22:20:10,5.8,3,A,145.2,3511.1,2.376,906.5,16.91,1.95,108.4,60.9,79.7,186.3,4.82,2.111,2025-10-05 22:20:10,3769.0,5.0,16.83,43.7,114.8,A
2025-10-05 23:16:00,5.9,1,A,138.4,3525.0,2.64,913.0,18.13,1.54,104.7,63.0,83.3,174.1,3.52,1.634,2025-10-05 23:16:00,3737.0,5.32,18.64,42.85,111.8,A
2025-10-06 03:33:30,6.0,1,A,142.6,3502.8,2.282,900.9,16.33,1.41,107.7,62.2,91.9,182.8,4.13,2.243,2025-10-06 03:33:30,3721.0,4.62,19.34,42.94,118.8,A
2025-10-06 03:39:30,6.1,3,A,131.9,3553.0,1.899,911.2,15.16,1.05,106.0,61.6,81.3,179.9,4.18,1.91,2025-10-06 03:39:30,3771.0,4.81,19.0,43.13,105.9,A
2025-10-06 05:37:20,6.1,1,A,137.9,3510.8,1.606,885.7,15.3,1.54,106.5,62.3,69.6,172.4,3.99,2.963,2025-10-06 05:37:20,3789.0,5.71,18.71,43.04,113.6,A
2025-10-06 05:39:20,6.1,3,A,130.7,3565.7,1.884,903.5,16.42,1.67,112.9,60.3,80.8,187.8,3.48,2.168,2025-10-06 05:39:20,3805.0,3.74,18.63,42.67,119.0,A
2025-10-06 08:44:40,6.3,3,A,139.8,3560.9,1.894,902.8,17.05,1.47,107.5,64.7,85.1,181.7,5.71,2.551,2025-10-06 08:44:40,3791.0,5.2,18.22,43.05,112.2,A
2025-10-06 12:18:10,6.4,3,A,153.8,3516.2,2.991,895.6,17.13,1.38,107.9,62.4,78.1,177.1,3.89,2.391,2025-10-06 12:18:10,3720.0,4.35,18.65,42.52,112.2,A
2025-10-06 15:09:30,6.5,3,A,144.8,3510.9,2.218,902.5,16.79,1.03,108.5,61.1,80.9,187.6,3.46,2.293,2025-10-06 15:09:30,3742.0,4.03,18.66,42.67,114.7,A
2025-10-06 16:45:30,6.6,1,A,145.1,3563.6,2.171,888.0,16.62,1.4,108.2,62.6,70.0,183.6,5.75,2.311,2025-10-06 16:45:30,3851.0,4.72,18.46,43.41,115.3,A
2025-10-06 17:39:40,6.6,1,A,145.3,3593.3,3.398,914.3,17.54,1.5,110.2,61.6,74.1,177.3,4.06,2.435,2025-10-06 17:39:40,3750.0,4.57,17.37,42.35,116.6,A
2025-10-06 19:27:20,6.7,1,A,145.5,3519.0,2.037,904.5,15.2,1.33,106.8,64.7,82.5,182.7,4.8,2.267,2025-10-06 19:27:20,3666.0,5.11,17.57,42.51,113.9,A
2025-10-06 20:06:00,6.7,1,A,139.3,3561.0,2.759,904.3,18.11,1.32,107.1,64.0,79.1,182.1,3.71,1.961,2025-10-06 20:06:00,3742.0,4.76,19.47,42.98,115.2,A
2025-10-07 02:08:10,7.0,1,A,139.1,3573.4,2.707,897.3,16.25,1.11,103.1,64.4,80.6,182.7,4.16,2.199,2025-10-07 02:08:10,3765.0,4.75,18.72,43.4,107.4,A
2025-10-07 05:51:20,7.1,1,A,134.4,3534.9,2.228,908.3,16.1,1.12,112.8,65.3,75.9,185.8,4.74,2.346,2025-10-07 05:51:20,3768.0,4.35,18.74,43.02,115.2,A
2025-10-07 12:32:30,7.4,3,A,141.5,3522.5,2.818,904.5,17.24,1.06,107.1,62.8,76.2,180.3,4.28,2.103,2025-10-07 12:32:30,3794.0,4.5,18.73,42.32,113.4,A
