timestamp,hot_inlet_temp_c,hot_outlet_temp_c,cold_inlet_temp_c,cold_outlet_temp_c,hot_flow_rate_lpm,cold_flow_rate_lpm,heat_transfer_coeff_wm2k,pressure_drop_hot_kpa,pressure_drop_cold_kpa,approach_temp_c,effectiveness,pump_trip_event,cleaning_cycle
2025-03-01 00:00:00,179.96,142.97,31.35,67.86,199.91,200.56,1851.0,12.26,8.07,75.11,0.2489,0,0
2025-03-01 00:05:00,180.03,143.03,31.47,68.36,200.93,200.53,1847.0,12.34,8.3,74.67,0.2491,0,0
2025-03-01 00:10:00,180.01,142.92,31.4,68.9,200.43,198.84,1852.6,12.26,8.16,74.02,0.2496,0,0
2025-03-01 00:15:00,180.06,142.62,31.63,68.16,199.11,200.45,1848.2,12.16,8.23,74.46,0.2522,0,0
2025-03-01 00:20:00,180.17,142.98,31.14,68.53,200.68,199.2,1850.3,12.42,8.2,74.45,0.2495,0,0
2025-03-01 00:25:00,180.09,142.82,31.61,68.93,200.38,199.5,1851.5,12.26,8.45,73.89,0.251,0,0
2025-03-01 00:30:00,179.8,143.13,31.19,67.97,200.61,201.14,1854.3,12.29,7.89,75.16,0.2467,0,0
2025-03-01 00:35:00,179.87,143.06,31.71,68.21,198.85,200.03,1852.2,12.39,8.45,74.85,0.2484,0,0
2025-03-01 00:40:00,180.15,143.24,31.32,68.14,199.55,199.33,1849.8,12.41,7.99,75.1,0.248,0,0
2025-03-01 00:45:00,179.93,143.1,31.02,68.07,199.13,199.55,1849.9,12.34,8.13,75.04,0.2473,0,0
2025-03-01 00:50:00,180.27,143.23,31.71,69.04,200.22,199.19,1853.7,12.3,8.39,74.18,0.2494,0,0
2025-03-01 00:55:00,179.91,142.72,31.89,69.14,200.09,199.59,1854.3,12.42,8.2,73.58,0.2513,0,0
2025-03-01 01:00:00,179.41,142.84,31.68,68.4,200.44,199.56,1855.2,12.14,8.04,74.44,0.2475,0,0
2025-03-01 01:05:00,180.34,142.69,31.39,69.03,199.71,200.08,1846.4,12.43,8.1,73.66,0.2528,0,0
2025-03-01 01:10:00,180.57,142.97,31.58,69.66,201.09,198.96,1855.2,12.05,8.25,73.31,0.2524,0,0
2025-03-01 01:15:00,180.15,142.87,31.89,68.96,200.57,200.04,1850.6,12.27,8.4,73.91,0.2514,0,0
2025-03-01 01:20:00,179.85,143.07,31.59,68.4,198.74,199.68,1854.3,12.29,7.93,74.66,0.2481,0,0
2025-03-01 01:25:00,180.11,143.28,31.64,68.67,200.39,199.44,1852.1,12.49,8.19,74.62,0.2481,0,0
2025-03-01 01:30:00,180.07,143.03,32.05,69.54,200.19,199.76,1850.4,12.38,8.28,73.49,0.2503,0,0
2025-03-01 01:35:00,179.87,142.85,31.08,68.33,200.24,200.18,1851.8,12.15,8.18,74.52,0.2488,0,0
2025-03-01 01:40:00,179.95,142.81,31.14,68.48,200.36,199.96,1851.5,12.21,8.16,74.33,0.2496,0,0
2025-03-01 01:45:00,180.25,143.57,31.33,67.61,200.3,200.0,1852.1,12.25,8.08,75.96,0.2463,0,0
2025-03-01 01:50:00,180.48,143.09,31.5,69.17,201.79,199.65,1847.9,12.31,8.06,73.92,0.251,0,0
2025-03-01 01:55:00,180.05,143.44,30.97,67.66,201.6,199.87,1850.9,12.77,7.97,75.78,0.2456,0,0
2025-03-01 02:00:00,179.63,143.32,31.36,67.57,200.38,200.55,1845.2,12.23,8.29,75.76,0.2449,0,0
2025-03-01 02:05:00,180.12,143.53,31.0,67.52,199.97,201.12,1850.9,12.11,7.97,76.01,0.2453,0,0
2025-03-01 02:10:00,180.01,142.71,31.61,68.88,200.46,199.62,1846.5,12.4,7.75,73.84,0.2513,0,0
2025-03-01 02:15:00,179.92,143.25,31.59,68.37,201.22,200.06,1847.8,12.2,8.33,74.88,0.2472,0,0
2025-03-01 02:20:00,180.25,143.16,31.6,69.26,202.66,199.97,1849.3,12.65,8.33,73.89,0.2495,0,0
2025-03-01 02:25:00,179.65,142.66,31.37,67.74,200.34,200.63,1844.3,12.29,8.08,74.93,0.2494,0,0
2025-03-01 02:30:00,180.09,143.08,31.27,68.48,199.02,198.38,1853.0,12.42,8.07,74.6,0.2486,0,0
2025-03-01 02:35:00,180.34,142.85,31.41,68.34,199.47,199.58,1850.5,12.34,8.05,74.52,0.2517,0,0
2025-03-01 02:40:00,179.82,142.87,31.53,68.58,201.37,200.03,1849.8,12.11,8.08,74.29,0.2492,0,0
2025-03-01 02:45:00,180.02,142.82,31.89,69.24,200.75,200.83,1846.6,12.35,8.16,73.58,0.2511,0,0
2025-03-01 02:50:00,179.81,143.14,31.92,68.85,200.45,198.48,1850.0,12.37,8.16,74.29,0.248,0,0
2025-03-01 02:55:00,179.49,143.48,31.12,67.51,200.62,201.04,1843.8,12.42,7.81,75.97,0.2427,0,0
2025-03-01 03:00:00,180.4,143.16,31.46,67.76,199.09,201.61,1850.9,12.19,8.12,75.4,0.25,0,0
2025-03-01 03:05:00,179.88,143.45,31.72,67.69,198.86,200.25,1850.6,12.33,8.0,75.76,0.2459,0,0
2025-03-01 03:10:00,180.16,143.2,31.39,67.92,199.24,201.41,1848.1,12.18,8.28,75.28,0.2485,0,0
2025-03-01 03:15:00,179.96,142.97,31.47,68.53,199.85,200.49,1849.5,12.42,8.2,74.44,0.2491,0,0
2025-03-01 03:20:00,179.97,142.75,31.12,68.53,199.25,199.41,1849.9,12.54,8.44,74.23,0.25,0,0
2025-03-01 03:25:00,180.01,142.63,30.94,68.21,199.69,199.94,1850.9,12.23,7.98,74.42,0.2507,0,0
2025-03-01 03:30:00,179.81,142.91,31.75,68.99,199.87,199.34,1847.9,12.37,8.21,73.91,0.2493,0,0
2025-03-01 03:35:00,180.19,142.8,31.64,68.68,199.56,200.91,1853.6,12.42,8.1,74.13,0.2517,0,0
2025-03-01 03:40:00,179.7,142.84,31.41,68.38,199.5,199.26,1843.6,12.35,8.13,74.46,0.2486,0,0
2025-03-01 03:45:00,179.85,142.83,31.51,68.89,200.49,199.51,1845.5,12.25,8.01,73.94,0.2496,0,0
2025-03-01 03:50:00,180.02,143.06,31.29,68.01,200.03,200.91,1846.4,12.41,8.18,75.05,0.2485,0,0
2025-03-01 03:55:00,180.36,142.98,31.03,68.43,200.02,199.95,1844.9,12.42,8.2,74.55,0.2503,0,0
2025-03-01 04:00:00,180.28,143.0,31.76,69.48,199.74,199.97,1844.8,12.37,7.88,73.52,0.251,0,0
2025-03-01 04:05:00,179.35,142.78,30.67,66.83,198.89,200.86,1846.5,12.39,7.93,75.95,0.246,0,0
2025-03-01 04:10:00,180.33,143.01,30.91,68.46,199.39,200.1,1850.4,12.12,8.02,74.55,0.2498,0,0
2025-03-01 04:15:00,179.86,143.22,31.32,67.9,200.31,199.9,1849.6,12.33,8.33,75.32,0.2467,0,0
2025-03-01 04:20:00,179.98,142.85,31.03,67.98,199.16,200.55,1844.3,12.46,7.9,74.88,0.2492,0,0
2025-03-01 04:25:00,179.81,143.02,31.36,67.71,198.93,199.94,1854.0,12.52,7.8,75.31,0.2478,0,0
2025-03-01 04:30:00,179.64,143.03,31.27,67.91,198.96,199.69,1849.3,12.31,7.98,75.12,0.2467,0,0
2025-03-01 04:35:00,180.32,143.03,30.92,68.3,200.27,199.59,1849.5,12.15,8.22,74.72,0.2496,0,0
2025-03-01 04:40:00,180.35,143.23,31.08,68.26,200.59,200.67,1850.6,12.43,8.11,74.97,0.2487,0,0
2025-03-01 04:45:00,179.76,143.1,31.0,67.69,198.49,200.0,1850.5,12.44,8.1,75.41,0.2464,0,0
2025-03-01 04:50:00,179.74,143.16,30.62,67.21,199.22,198.91,1851.7,12.31,8.26,75.95,0.2453,0,0
2025-03-01 04:55:00,180.27,142.59,30.79,68.66,199.78,199.57,1853.6,12.3,8.03,73.93,0.252,0,0
2025-03-01 05:00:00,180.27,142.86,30.34,68.1,200.14,200.11,1852.9,12.26,8.09,74.75,0.2495,0,0
2025-03-01 05:05:00,179.9,143.26,30.77,67.22,198.95,201.1,1846.7,12.61,8.4,76.04,0.2457,0,0
2025-03-01 05:10:00,180.05,142.77,30.64,67.72,199.31,200.33,1853.3,12.07,8.4,75.05,0.2495,0,0
2025-03-01 05:15:00,180.39,142.74,30.53,67.95,198.87,199.77,1842.3,12.27,8.37,74.8,0.2512,0,0
2025-03-01 05:20:00,179.72,142.94,30.75,67.7,198.81,200.51,1850.6,12.24,8.18,75.25,0.2469,0,0
2025-03-01 05:25:00,179.87,143.04,30.45,67.45,200.24,199.86,1848.5,12.36,8.36,75.59,0.2465,0,0
2025-03-01 05:30:00,179.72,143.61,31.19,67.43,199.81,199.39,1854.1,12.42,7.85,76.18,0.2432,0,0
2025-03-01 05:35:00,180.03,143.03,30.6,67.82,198.93,198.58,1851.2,12.25,7.98,75.21,0.2476,0,0
2025-03-01 05:40:00,179.75,142.99,30.56,66.98,199.17,199.84,1849.3,12.19,8.1,76.02,0.2464,0,0
2025-03-01 05:45:00,180.13,142.91,30.72,68.33,200.38,198.68,1851.9,12.06,8.12,74.58,0.2491,0,0
2025-03-01 05:50:00,180.3,143.06,30.6,67.93,199.92,200.36,1850.2,12.32,7.98,75.13,0.2488,0,0
2025-03-01 05:55:00,179.96,142.88,30.93,68.2,199.84,199.87,1847.4,12.44,7.96,74.68,0.2488,0,0
2025-03-01 06:00:00,179.74,143.27,30.64,66.98,200.1,200.24,1851.3,12.16,8.29,76.29,0.2446,0,0
2025-03-01 06:05:00,180.16,142.92,30.69,68.2,200.15,199.37,1849.9,12.32,7.9,74.72,0.2491,0,0
2025-03-01 06:10:00,180.05,142.54,30.35,67.9,199.13,199.88,1852.6,12.29,7.95,74.64,0.2506,0,0
2025-03-01 06:15:00,179.76,143.17,30.46,66.6,198.06,200.14,1848.5,12.33,8.15,76.57,0.2451,0,0
2025-03-01 06:20:00,180.27,143.05,30.47,68.05,199.45,199.63,1849.0,12.14,7.97,74.99,0.2485,0,0
2025-03-01 06:25:00,179.48,142.51,30.52,67.19,198.91,199.01,1851.7,12.1,7.84,75.32,0.2482,0,0
2025-03-01 06:30:00,180.04,143.0,30.32,66.99,200.35,200.59,1849.6,12.38,8.01,76.0,0.2474,0,0
2025-03-01 06:35:00,179.64,143.0,30.65,67.54,199.67,199.67,1850.8,12.25,8.2,75.46,0.2459,0,0
2025-03-01 06:40:00,180.54,143.94,30.69,67.25,200.54,199.1,1848.9,12.2,8.34,76.69,0.2442,0,0
2025-03-01 06:45:00,180.11,142.92,29.95,66.79,200.21,200.44,1847.8,12.23,8.1,76.13,0.2476,0,0
2025-03-01 06:50:00,179.87,142.82,30.46,67.97,199.24,198.61,1848.3,12.65,8.17,74.85,0.248,0,0
2025-03-01 06:55:00,179.71,143.59,30.04,66.11,200.19,199.06,1852.0,12.52,8.08,77.48,0.2413,0,0
2025-03-01 07:00:00,179.75,143.01,30.14,66.46,200.29,200.7,1850.1,12.2,7.77,76.56,0.2456,0,0
2025-03-01 07:05:00,179.83,143.46,29.82,65.84,200.47,201.56,1848.6,12.4,8.26,77.62,0.2424,0,0
2025-03-01 07:10:00,179.9,142.88,30.11,67.5,201.77,199.91,1851.7,12.15,8.06,75.38,0.2471,0,0
2025-03-01 07:15:00,179.71,142.98,30.05,66.71,201.5,200.59,1849.1,12.46,8.02,76.27,0.2454,0,0
2025-03-01 07:20:00,180.36,142.5,29.74,67.6,199.77,201.39,1844.4,12.29,8.07,74.9,0.2514,0,0
2025-03-01 07:25:00,180.21,143.01,29.26,66.03,198.47,199.55,1849.3,12.12,8.04,76.97,0.2464,0,0
2025-03-01 07:30:00,179.79,142.84,30.08,66.83,200.47,201.15,1850.1,12.26,8.09,76.01,0.2468,0,0
2025-03-01 07:35:00,179.61,142.6,30.08,67.38,199.27,199.23,1849.6,12.47,8.14,75.22,0.2475,0,0
2025-03-01 07:40:00,179.57,142.73,29.68,66.71,200.61,199.39,1849.5,12.15,8.05,76.02,0.2458,0,0
2025-03-01 07:45:00,179.88,143.33,29.28,65.74,200.4,199.35,1845.3,12.48,7.86,77.59,0.2427,0,0
2025-03-01 07:50:00,179.84,143.05,30.04,66.98,199.74,198.68,1853.9,12.39,8.56,76.06,0.2456,0,0
2025-03-01 07:55:00,179.59,143.21,29.85,66.1,199.15,200.92,1847.7,12.19,7.8,77.1,0.243,0,0
2025-03-01 08:00:00,180.43,143.19,29.95,67.26,199.79,200.75,1845.1,12.19,8.13,75.93,0.2475,0,0
2025-03-01 08:05:00,180.09,143.55,30.04,66.58,199.19,200.1,1852.6,12.3,8.22,76.97,0.2435,0,0
2025-03-01 08:10:00,180.45,143.15,29.79,67.63,200.98,199.3,1847.7,12.46,8.0,75.51,0.2476,0,0
2025-03-01 08:15:00,179.8,143.23,29.73,66.35,201.55,200.25,1850.2,12.12,8.01,76.88,0.2437,0,0
2025-03-01 08:20:00,180.21,142.95,29.69,67.52,201.16,199.84,1848.1,12.07,8.3,75.43,0.2475,0,0
2025-03-01 08:25:00,180.1,143.44,29.13,65.68,200.04,199.68,1848.3,12.16,7.94,77.76,0.2429,0,0
2025-03-01 08:30:00,179.82,142.63,29.28,66.18,199.18,198.71,1848.4,12.2,7.92,76.45,0.2471,0,0
2025-03-01 08:35:00,180.12,143.4,29.6,66.38,199.65,199.63,1851.4,11.91,8.0,77.02,0.244,0,0
2025-03-01 08:40:00,179.46,143.13,29.47,65.7,200.3,199.46,1851.7,12.07,8.06,77.43,0.2422,0,0
2025-03-01 08:45:00,180.1,142.9,29.68,66.47,199.9,201.55,1841.7,12.57,8.04,76.42,0.2474,0,0
2025-03-01 08:50:00,179.71,142.64,29.85,67.18,200.99,200.09,1848.1,12.12,8.26,75.46,0.2473,0,0
2025-03-01 08:55:00,179.47,143.08,29.63,65.27,200.37,201.64,1847.5,12.31,8.15,77.81,0.2428,0,0
2025-03-01 09:00:00,180.25,143.39,28.97,66.1,199.74,200.78,1848.8,12.46,8.36,77.28,0.2437,0,0
2025-03-01 09:05:00,180.3,142.64,29.61,67.76,200.66,199.37,1849.0,12.3,8.01,74.88,0.2499,0,0
2025-03-01 09:10:00,179.9,143.06,29.46,66.12,199.18,200.05,1847.8,12.42,8.38,76.94,0.2449,0,0
2025-03-01 09:15:00,179.85,142.81,29.68,67.09,200.71,197.88,1852.3,12.33,8.17,75.72,0.2467,0,0
2025-03-01 09:20:00,180.16,142.96,29.12,66.36,199.4,199.02,1850.5,12.19,8.24,76.6,0.2463,0,0
