date,轴号,下轴时间,scratch,米数,个/100米,型号,厚度,ts_start,ts_end
2026-01-01,H2610081,23:31-0:15,3.0,2154,2.69266480965645,PG32B,125.0,2026-01-01 23:31:00,2026-01-02 00:15:00
2026-01-01,H2610083,0：57-2:22,4.0,4160,3.36538461538462,PG32DS,125.0,2026-01-01 00:57:00,2026-01-01 02:22:00
2026-01-01,H2610084,2：22-3:48,3.0,4159,3.48641500360664,PG32DS,125.0,2026-01-01 02:22:00,2026-01-01 03:48:00
2026-01-01,H2610085,3：48-4:58,6.0,3324,4.36221419975933,PG31DS,125.0,2026-01-01 03:48:00,2026-01-01 04:58:00
2026-01-01,H2610086,6：10-7:21,14.0,3510,5.41310541310541,PG31DS,125.0,2026-01-01 06:10:00,2026-01-01 07:21:00
2026-01-01,H2610088,7:21-8：34,10.0,3550,4.02816901408451,PG31DS,125.0,2026-01-01 07:21:00,2026-01-01 08:34:00
2026-01-01,H2610089,8:34-9：46,5.0,3500,3.68571428571429,PG31DS,125.0,2026-01-01 08:34:00,2026-01-01 09:46:00
2026-01-01,H2610090,9：46-10:41,659.0,2672,14.9326347305389,PG32D,125.0,2026-01-01 09:46:00,2026-01-01 10:41:00
2026-01-01,H2610091,10:41-11:30,2.0,2362,2.20152413209145,PG32D,125.0,2026-01-01 10:41:00,2026-01-01 11:30:00
2026-01-01,H2610092,11:30-12:23,1.0,2552,54.5062695924765,PG32D,125.0,2026-01-01 11:30:00,2026-01-01 12:23:00
2026-01-01,H2610093,12:23-13:08,1.0,2203,1.45256468452111,PG32DS,125.0,2026-01-01 12:23:00,2026-01-01 13:08:00
2026-01-01,H2610094,13：08-14：01,8.0,2582,3.91169635941131,PG32DS,125.0,2026-01-01 13:08:00,2026-01-01 14:01:00
2026-01-01,H2610095,14:01-15:34,4.0,4590,2.15686274509804,PG32DS,125.0,2026-01-01 14:01:00,2026-01-01 15:34:00
2026-01-01,H2610096,15:34-16:32,12.0,2852,4.03225806451613,PG32DS,125.0,2026-01-01 15:34:00,2026-01-01 16:32:00
2026-01-01,H2610097,16:32-18:03,7.0,4459,1.43529939448307,PG32DS,125.0,2026-01-01 16:32:00,2026-01-01 18:03:00
2026-01-01,H2610098,18:03-19:13,2.0,3461,1.70470962149668,PG31DS,125.0,2026-01-01 18:03:00,2026-01-01 19:13:00
2026-01-01,H2610099,19:13-20:19,5.0,3261,1.59460288255136,PG31DS,125.0,2026-01-01 19:13:00,2026-01-01 20:19:00
2026-01-01,H2610100,20:19-21:26,3.0,3261,1.77859552284575,PG31DS,125.0,2026-01-01 20:19:00,2026-01-01 21:26:00
2026-01-01,H2610101,21:26-22:32,3.0,3261,1.47194112235511,PG31DS,125.0,2026-01-01 21:26:00,2026-01-01 22:32:00
2026-01-01,H2610103,23:09-23:52,2.0,2153,1.67208546214584,PG32M,125.0,2026-01-01 23:09:00,2026-01-01 23:52:00
2026-01-02,H2610104,23:52-1:17,4.0,4210,1.28266033254157,PG32M,125.0,2026-01-02 23:52:00,2026-01-03 01:17:00
2026-01-02,H2610105,1：17-2:42,4.0,4210,1.49643705463183,PG32M,125.0,2026-01-02 01:17:00,2026-01-02 02:42:00
2026-01-02,H2610106,2：42-4:06,7.0,4210,1.80522565320665,PG32M,125.0,2026-01-02 02:42:00,2026-01-02 04:06:00
2026-01-02,H2610107,4：06-5:31,1.0,4210,1.66270783847981,PG32M,125.0,2026-01-02 04:06:00,2026-01-02 05:31:00
2026-01-02,H2610108,5：31-6:56,4.0,4260,3.30985915492958,PG32M,125.0,2026-01-02 05:31:00,2026-01-02 06:56:00
2026-01-02,H2610109,6：56-8:21,4.0,4210,1.56769596199525,PG32M,125.0,2026-01-02 06:56:00,2026-01-02 08:21:00
2026-01-02,H2610110,8:21-9：45,11.0,4210,1.71021377672209,PG32M,125.0,2026-01-02 08:21:00,2026-01-02 09:45:00
2026-01-02,H2610111,9：45-10：39,8.0,2703,1.07288198298187,PG32M,125.0,2026-01-02 09:45:00,2026-01-02 10:39:00
2026-01-02,H2610112,10:39-12:10,7.0,4510,3.21507760532151,PG32M,125.0,2026-01-02 10:39:00,2026-01-02 12:10:00
2026-01-02,H2610113,12：10-13：34,4.0,4223,1.51551030073408,PG32M,125.0,2026-01-02 12:10:00,2026-01-02 13:34:00
2026-01-02,H2610115,16：51-18：01,606.0,2403,4.03662089055347,PG42Y,188.0,2026-01-02 16:51:00,2026-01-02 18:01:00
2026-01-02,H2610116,18：01-19:13,3.0,2463,5.72472594397077,PG42Y,188.0,2026-01-02 18:01:00,2026-01-02 19:13:00
2026-01-02,H2610117,19:13-20:25,8.0,2464,6.20941558441559,PG42Y,188.0,2026-01-02 19:13:00,2026-01-02 20:25:00
2026-01-02,H2610118,20：25-21：43,9.0,2662,3.49361382419234,PG42Y,188.0,2026-01-02 20:25:00,2026-01-02 21:43:00
