timestamp,part_id,day,shift,material,tool_id,tool_age_parts,spindle_speed_rpm,feed_rate_mm_min,depth_of_cut_mm,coolant_flow_l_min,coolant_temp_C,spindle_temp_C,spindle_vibration_mm_s,cutting_force_N,ambient_temp_C
2026-04-01 16:00:00,P011001,1,1,AL7075,T001,1,11977.0,2981.0,0.5,12.22,26.1,38.2,0.63,503.1,25.4
2026-04-01 16:24:00,P011002,1,1,AL7075,T001,2,11909.0,2887.0,1.0,11.5,25.0,35.5,0.46,655.7,23.1
2026-04-01 16:48:00,P011003,1,1,AL7075,T001,3,11999.0,2915.0,0.5,11.82,25.0,36.1,0.7,485.5,23.4
2026-04-01 17:12:00,P011004,1,1,AL7075,T001,4,11852.0,2942.0,1.5,10.92,24.6,37.0,0.38,605.8,23.8
2026-04-01 17:36:00,P011005,1,1,AL7075,T001,5,12033.0,3078.0,1.0,11.86,24.7,36.5,0.39,616.2,23.5
2026-04-01 18:00:00,P011006,1,1,AL7075,T001,6,11996.0,3125.0,1.5,11.68,24.7,36.9,0.67,603.5,22.3
2026-04-01 18:24:00,P011007,1,1,AL7075,T001,7,12092.0,3026.0,1.5,13.1,24.7,35.6,0.37,633.2,22.6
2026-04-01 18:48:00,P011008,1,1,AL7075,T001,8,11858.0,2966.0,1.0,12.36,24.3,36.3,0.41,590.7,21.0
2026-04-01 19:12:00,P011009,1,1,AL7075,T001,9,11981.0,3024.0,1.0,12.27,23.8,35.5,0.83,614.4,18.6
2026-04-01 19:36:00,P011010,1,1,AL7075,T001,10,11901.0,2955.0,0.5,13.37,24.8,36.7,0.79,532.1,20.7
2026-04-01 20:00:00,P011011,1,1,AL7075,T001,11,12081.0,2902.0,1.5,13.09,25.0,35.5,0.43,637.6,18.3
2026-04-01 20:24:00,P011012,1,1,AL7075,T001,12,12025.0,3028.0,1.5,12.18,24.0,35.7,0.52,655.0,17.5
2026-04-01 20:48:00,P011013,1,1,AL7075,T001,13,12096.0,3033.0,1.5,11.31,23.8,36.9,0.36,607.3,17.2
2026-04-01 21:12:00,P011014,1,1,AL7075,T001,14,11974.0,3218.0,1.0,11.23,24.2,35.8,0.71,595.9,17.8
2026-04-01 21:36:00,P011015,1,1,AL7075,T001,15,11955.0,3069.0,1.0,12.57,23.4,34.1,0.27,607.9,17.5
2026-04-01 22:00:00,P011016,1,1,AL7075,T001,16,11862.0,2925.0,1.5,12.24,23.8,36.7,0.66,656.6,17.1
2026-04-01 22:24:00,P011017,1,1,AL7075,T001,17,11923.0,2981.0,1.5,11.97,23.2,35.1,0.62,602.7,17.3
2026-04-01 22:48:00,P011018,1,1,AL7075,T001,18,11927.0,3017.0,0.5,13.91,24.0,33.9,0.61,578.1,16.3
2026-04-01 23:12:00,P011019,1,1,AL7075,T001,19,12050.0,3069.0,1.0,11.73,22.8,34.2,0.5,606.1,15.6
2026-04-01 23:36:00,P011020,1,1,AL7075,T001,20,12127.0,2943.0,0.5,11.81,24.3,34.1,0.45,536.2,17.7
2026-04-02 00:00:00,P011021,1,1,AL7075,T001,21,12144.0,2885.0,1.5,12.32,23.8,34.5,0.55,653.2,17.3
2026-04-02 00:24:00,P011022,1,1,AL7075,T001,22,11985.0,3047.0,2.0,11.61,23.9,37.6,0.24,742.2,17.3
2026-04-02 00:48:00,P011023,1,1,AL7075,T001,23,11778.0,3111.0,1.5,13.29,23.5,35.9,0.54,650.0,15.3
2026-04-02 01:12:00,P011024,1,1,AL7075,T001,24,12063.0,2820.0,1.0,10.76,22.8,33.9,0.67,615.8,16.9
2026-04-02 01:36:00,P011025,1,1,SS304,T001,25,8032.0,2134.0,1.5,12.07,23.8,37.1,0.6,956.3,17.4
2026-04-02 04:00:00,P012001,1,2,SS304,T001,26,8029.0,1985.0,1.5,13.06,22.9,36.1,0.34,891.0,16.0
2026-04-02 04:24:00,P012002,1,2,SS304,T001,27,8085.0,2061.0,1.5,12.67,23.9,37.1,0.28,945.0,15.3
2026-04-02 04:48:00,P012003,1,2,SS304,T001,28,7973.0,1992.0,2.0,11.87,24.0,36.3,0.63,1013.3,18.2
2026-04-02 05:12:00,P012004,1,2,SS304,T001,29,7969.0,1941.0,1.0,11.03,24.8,36.3,0.49,883.7,18.9
2026-04-02 05:36:00,P012005,1,2,SS304,T001,30,8168.0,1862.0,2.0,11.01,24.2,35.9,0.53,1069.9,19.8
2026-04-02 06:00:00,P012006,1,2,SS304,T001,31,8164.0,2018.0,2.0,13.28,24.5,37.7,0.52,1009.5,19.2
2026-04-02 06:24:00,P012007,1,2,SS304,T001,32,8000.0,1966.0,1.0,11.59,24.5,36.9,0.67,895.2,18.9
2026-04-02 06:48:00,P012008,1,2,SS304,T001,33,7913.0,2009.0,1.5,10.38,25.6,38.9,0.8,967.1,20.4
2026-04-02 07:12:00,P012009,1,2,SS304,T001,34,7885.0,1952.0,1.5,12.39,23.7,37.5,0.54,1042.4,21.8
2026-04-02 07:36:00,P012010,1,2,SS304,T001,35,8008.0,2028.0,1.0,11.6,25.2,38.3,0.79,909.7,20.8
2026-04-02 08:00:00,P012011,1,2,SS304,T001,36,8012.0,2158.0,1.0,12.14,24.5,37.0,0.49,937.3,21.0
2026-04-02 08:24:00,P012012,1,2,SS304,T001,37,7964.0,2072.0,1.0,12.23,24.8,38.6,0.7,925.3,22.3
2026-04-02 08:48:00,P012013,1,2,SS304,T001,38,7970.0,2174.0,1.5,12.32,25.3,34.9,0.58,1021.1,22.5
2026-04-02 09:12:00,P012014,1,2,SS304,T001,39,7938.0,1899.0,1.0,12.64,24.6,35.4,0.64,972.5,22.3
2026-04-02 09:36:00,P012015,1,2,SS304,T001,40,8022.0,2137.0,1.5,11.83,25.4,37.1,0.75,1004.1,24.8
2026-04-02 10:00:00,P012016,1,2,SS304,T001,41,7942.0,2021.0,1.0,13.91,25.1,36.8,0.69,915.0,25.8
2026-04-02 10:24:00,P012017,1,2,SS304,T001,42,8053.0,2056.0,1.5,11.65,25.5,38.2,0.72,1002.3,24.1
2026-04-02 10:48:00,P012018,1,2,SS304,T001,43,8071.0,2177.0,1.0,10.51,26.1,40.1,0.72,944.4,24.3
2026-04-02 11:12:00,P012019,1,2,SS304,T001,44,8171.0,1997.0,1.5,12.78,25.6,38.9,0.84,976.0,23.4
2026-04-02 11:36:00,P012020,1,2,SS304,T001,45,8006.0,2200.0,1.5,9.94,25.2,37.3,0.35,1020.2,25.0
2026-04-02 12:00:00,P012021,1,2,TI6AL4V,T001,46,6081.0,1380.0,2.0,12.69,25.1,38.6,0.77,1221.3,24.9
2026-04-02 12:24:00,P012022,1,2,TI6AL4V,T001,47,5960.0,1466.0,1.5,11.01,24.8,38.3,0.92,1207.0,24.5
2026-04-02 12:48:00,P012023,1,2,TI6AL4V,T001,48,5844.0,1277.0,2.0,11.65,25.8,39.7,0.86,1245.2,25.2
2026-04-02 13:12:00,P012024,1,2,TI6AL4V,T001,49,5996.0,1534.0,1.5,12.09,25.9,38.7,0.78,1173.4,24.0
2026-04-02 13:36:00,P012025,1,2,TI6AL4V,T001,50,6109.0,1468.0,1.5,12.83,25.4,42.1,0.93,1266.8,24.0
2026-04-02 16:00:00,P021001,2,1,TI6AL4V,T001,51,6051.0,1476.0,1.5,12.98,24.5,39.0,0.99,1172.8,24.8
