timestamp,temp_a_c,temp_b_c,pressure_mpa,thickness_um,quality_index,stage
2025-01-01 08:00:00,150.0,152.0,5.00,10.00,98.5,normal
2025-01-01 08:01:00,150.1,152.1,5.01,10.01,98.4,normal
2025-01-01 08:02:00,150.2,152.0,4.99,9.99,98.6,normal
2025-01-01 08:03:00,150.0,152.2,5.02,10.02,98.3,normal
2025-01-01 08:04:00,149.9,151.9,4.98,9.98,98.5,normal
2025-01-01 08:05:00,150.1,152.0,5.00,10.00,98.4,normal
2025-01-01 08:06:00,150.3,152.1,5.01,10.03,98.2,normal
2025-01-01 08:07:00,150.0,152.0,5.00,10.00,98.5,normal
2025-01-01 08:08:00,149.8,151.8,4.97,9.97,98.6,normal
2025-01-01 08:09:00,150.2,152.1,5.02,10.04,98.3,normal
2025-01-01 08:10:00,150.1,152.0,5.01,10.01,98.4,normal
2025-01-01 08:11:00,149.9,152.2,5.00,10.00,98.5,normal
2025-01-01 08:12:00,150.0,151.9,4.99,9.99,98.3,normal
2025-01-01 08:13:00,150.1,152.1,5.02,10.02,98.4,normal
2025-01-01 08:14:00,150.2,152.0,5.00,10.00,98.5,normal
2025-01-01 08:15:00,150.0,151.8,4.98,9.98,98.4,normal
2025-01-01 08:16:00,150.1,152.0,5.01,10.01,98.5,normal
2025-01-01 08:17:00,149.9,152.1,4.99,9.99,98.6,normal
2025-01-01 08:18:00,150.2,152.2,5.02,10.02,98.3,normal
2025-01-01 08:19:00,150.0,152.0,5.00,10.00,98.5,normal
2025-01-01 08:20:00,148.5,150.5,5.25,10.80,96.0,anomaly
2025-01-01 08:21:00,148.0,150.0,5.40,11.20,95.0,anomaly
2025-01-01 08:22:00,147.5,149.5,5.55,11.60,94.5,anomaly
2025-01-01 08:23:00,147.0,149.0,5.70,12.00,93.8,anomaly
2025-01-01 08:24:00,148.5,150.5,5.25,10.80,95.5,anomaly
2025-01-01 08:25:00,149.5,151.5,5.10,10.40,96.5,recovery
2025-01-01 08:26:00,150.0,152.0,5.00,10.00,98.0,recovery
2025-01-01 08:27:00,150.1,152.1,5.00,9.99,98.4,recovery
2025-01-01 08:28:00,150.0,152.0,4.99,10.01,98.5,recovery
2025-01-01 08:29:00,150.2,151.9,5.01,10.00,98.3,recovery
